day,date,temp,ph,baume,brix,smv,stage
0,2026-01-08,12.0,6.4,,,,hatsuzoe
1,2026-01-09,11.2,6.0,,,,odori
2,2026-01-10,10.8,5.5,,,,nakazoe
3,2026-01-11,10.5,5.1,12.4,22.1,,tomezoe
4,2026-01-12,11.0,4.6,12.1,21.6,,
6,2026-01-14,12.4,4.1,10.8,19.4,,
8,2026-01-16,13.1,3.9,9.2,16.8,,
10,2026-01-18,13.6,3.8,7.5,14.1,,
12,2026-01-20,13.9,3.7,5.9,11.3,,
14,2026-01-22,14.2,3.7,4.4,8.9,,
16,2026-01-24,14.0,3.6,3.1,6.8,,
18,2026-01-26,13.5,3.6,2.0,5.2,,
20,2026-01-28,13.0,3.6,1.2,4.1,,
22,2026-01-30,12.6,3.5,0.6,3.4,,
24,2026-02-01,12.2,3.5,0.2,3.0,2.0,
26,2026-02-03,12.0,3.5,-0.1,2.8,3.0,
